City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,waingapu,-9.6567,120.2641,77.0,79,100,2.35,ID,2023-03-31 20:50:44
182,belaya gora,68.5333,146.4167,-6.45,91,99,9.04,RU,2023-03-31 20:50:44
183,burayevo,55.8407,55.4083,42.03,79,100,16.64,RU,2023-03-31 20:50:44
184,katobu,-4.9408,122.5276,74.88,93,100,3.0,ID,2023-03-31 20:50:44
185,dasoguz,41.8363,59.9666,66.15,37,0,16.11,TM,2023-03-31 20:50:45
186,cidreira,-30.1811,-50.2056,75.51,83,67,4.23,BR,2023-03-31 20:38:57
187,kasongo-lunda,-6.4667,16.8167,69.15,95,90,0.65,CD,2023-03-31 20:50:45
188,penzance,50.1186,-5.5371,54.77,87,62,30.11,GB,2023-03-31 20:50:39
189,saint george,37.1041,-113.5841,59.25,40,0,5.01,US,2023-03-31 20:41:19
190,muros,42.7762,-9.0603,56.84,85,96,8.99,ES,2023-03-31 20:41:55
191,constitucion,-35.3333,-72.4167,67.87,48,54,15.46,CL,2023-03-31 20:38:20
192,ponta do sol,32.6667,-17.1,71.71,68,0,4.85,PT,2023-03-31 20:42:00
193,kamiiso,41.8167,140.65,36.39,70,1,5.37,JP,2023-03-31 20:50:45
194,auki,-8.7676,160.7034,79.21,84,72,2.24,SB,2023-03-31 20:50:45
195,kaffrine,14.1059,-15.5508,87.48,29,100,11.21,SN,2023-03-31 20:50:45
196,rexburg,43.826,-111.7897,37.0,70,100,14.97,US,2023-03-31 20:50:45
197,gazojak,41.1875,61.4036,67.78,25,1,12.93,TM,2023-03-31 20:42:51
198,kralendijk,12.15,-68.2667,84.18,61,75,21.85,BQ,2023-03-31 20:50:45
199,mar del plata,-38.0023,-57.5575,59.02,63,40,20.71,AR,2023-03-31 20:42:09
200,port hedland,-20.3167,118.5667,78.85,89,1,5.75,AU,2023-03-31 20:50:45
201,lagoa,39.05,-27.9833,61.32,89,100,12.84,PT,2023-03-31 20:41:19
202,fairbanks,64.8378,-147.7164,23.34,67,75,6.91,US,2023-03-31 20:48:57
203,los llanos de aridane,28.6585,-17.9182,71.35,41,0,13.8,ES,2023-03-31 20:42:04
204,abdulino,53.7,53.6667,39.06,95,100,5.23,RU,2023-03-31 20:50:45
205,arraial do cabo,-22.9661,-42.0278,82.36,78,0,10.36,BR,2023-03-31 20:38:46
206,fukue,32.6881,128.8419,61.5,68,100,5.41,JP,2023-03-31 20:50:45
207,luena,-11.7833,19.9167,68.18,83,20,6.91,AO,2023-03-31 20:50:45
208,high prairie,55.4334,-116.4858,40.23,78,96,5.06,CA,2023-03-31 20:50:45
209,bhiwani,28.7833,76.1333,63.91,80,54,4.61,IN,2023-03-31 20:50:45
210,socorro,31.6546,-106.3033,66.06,7,75,19.57,US,2023-03-31 20:50:45
211,salalah,17.0151,54.0924,82.49,74,40,9.22,OM,2023-03-31 20:42:40
212,lulea,65.5842,22.1547,28.47,64,0,11.5,SE,2023-03-31 20:45:53
213,mount isa,-20.7333,139.5,71.37,35,81,5.75,AU,2023-03-31 20:49:58
214,lamar,33.6668,-95.5836,80.89,62,100,10.36,US,2023-03-31 20:50:46
215,jiuquan,39.7432,98.5174,46.47,26,87,7.27,CN,2023-03-31 20:42:32
216,tallahassee,30.4383,-84.2807,80.85,63,20,13.8,US,2023-03-31 20:49:07
217,san patricio,28.017,-97.5169,90.18,47,100,13.31,US,2023-03-31 20:50:46
218,mrkonjic grad,44.4158,17.0861,46.78,88,100,5.7,BA,2023-03-31 20:50:46
219,atasu,48.6814,71.6433,27.91,57,1,14.32,KZ,2023-03-31 20:50:46
220,hamilton,39.1834,-84.5333,58.98,89,100,18.41,US,2023-03-31 20:38:26
221,tutoia,-2.7619,-42.2744,79.34,82,11,8.7,BR,2023-03-31 20:42:40
222,bowen,-20.0167,148.2333,79.27,82,63,5.32,AU,2023-03-31 20:41:56
223,kosh-agach,50.0,88.6667,-2.34,74,55,6.33,RU,2023-03-31 20:50:46
224,santa cruz del sur,20.7147,-77.9956,85.08,55,17,14.41,CU,2023-03-31 20:50:46
225,beringovskiy,63.05,179.3167,19.47,86,38,7.47,RU,2023-03-31 20:50:46
226,hasaki,35.7333,140.8333,48.22,68,0,2.75,JP,2023-03-31 20:47:19
227,jinchang,38.4953,102.1739,47.37,22,5,6.58,CN,2023-03-31 20:42:49
228,bethel,41.3712,-73.414,48.88,57,100,9.22,US,2023-03-31 20:42:47
229,calama,-22.4667,-68.9333,73.89,40,20,25.32,CL,2023-03-31 20:50:46
230,camacha,33.0833,-16.3333,62.02,88,20,8.05,PT,2023-03-31 20:50:47
231,clarence town,-32.5833,151.7833,61.86,70,24,3.31,AU,2023-03-31 20:50:47
232,albert lea,43.648,-93.3683,46.42,100,100,19.57,US,2023-03-31 20:50:47
233,walvis bay,-22.9575,14.5053,58.15,88,12,4.61,NA,2023-03-31 20:41:57
234,diamantino,-14.4086,-56.4461,83.43,67,33,2.93,BR,2023-03-31 20:50:47
235,dwarka,22.2394,68.9678,76.15,79,0,10.69,IN,2023-03-31 20:50:47
236,basavana bagevadi,16.5833,75.9667,77.99,44,18,14.29,IN,2023-03-31 20:50:47
237,asifabad,19.3667,79.2833,80.22,45,26,1.77,IN,2023-03-31 20:50:47
238,jiazi,22.8779,116.067,67.62,90,100,8.99,CN,2023-03-31 20:50:47
239,frontera,26.9333,-101.45,98.33,24,20,10.36,MX,2023-03-31 20:49:34
240,timra,62.487,17.3257,26.28,59,6,5.75,SE,2023-03-31 20:50:47
241,farsala,39.2947,22.3847,58.24,76,64,6.89,GR,2023-03-31 20:50:47
242,gorontalo,0.5412,123.0595,75.56,94,100,1.77,ID,2023-03-31 20:50:47
243,lashio,22.9333,97.75,61.52,57,11,2.26,MM,2023-03-31 20:50:48
244,qaqortoq,60.7167,-46.0333,23.32,74,48,4.07,GL,2023-03-31 20:42:43
245,skibbereen,51.55,-9.2667,50.11,89,32,19.64,IE,2023-03-31 20:50:48
246,mitsamiouli,-11.3847,43.2844,81.54,75,97,3.27,KM,2023-03-31 20:50:48
247,panaba,21.2833,-88.2667,96.1,27,17,16.4,MX,2023-03-31 20:50:48
248,mokhsogollokh,61.4681,128.9203,7.11,94,100,6.53,RU,2023-03-31 20:50:48
249,hutchinson,38.0608,-97.9298,68.74,27,75,24.16,US,2023-03-31 20:48:42
250,bambanglipuro,-7.95,110.2833,76.64,87,97,4.94,ID,2023-03-31 20:50:48
251,katsuura,35.1333,140.3,57.81,73,0,4.07,JP,2023-03-31 20:42:18
252,menongue,-14.6585,17.691,64.38,90,87,3.83,AO,2023-03-31 20:42:56
253,nyrob,60.733,56.7202,36.23,87,100,10.92,RU,2023-03-31 20:50:48
254,turukhansk,65.8167,87.9833,-7.53,100,100,8.1,RU,2023-03-31 20:50:48
255,sonoita,31.85,-112.8333,67.66,16,40,3.94,MX,2023-03-31 20:50:48
256,airai,-8.9266,125.4092,58.96,94,100,2.55,TL,2023-03-31 20:50:48
257,rocha,-34.4833,-54.3333,63.27,48,2,20.31,UY,2023-03-31 20:42:47
258,holme,56.1138,10.1725,41.18,94,100,18.12,DK,2023-03-31 20:50:49
259,lasa,46.6166,10.7002,43.02,91,98,4.34,IT,2023-03-31 20:42:14
260,alta floresta,-9.8756,-56.0861,93.02,55,40,2.3,BR,2023-03-31 20:42:25
261,ibra,22.6906,58.5334,74.89,17,4,4.59,OM,2023-03-31 20:47:16
262,flinders,-34.5833,150.8552,61.18,82,56,4.0,AU,2023-03-31 20:42:22
263,padang,-0.9492,100.3543,76.33,87,100,3.31,ID,2023-03-31 20:42:02
264,uchiza,-8.4592,-76.4633,85.05,60,72,2.53,PE,2023-03-31 20:50:49
265,port hardy,50.6996,-127.4199,44.78,76,100,19.57,CA,2023-03-31 20:42:10
266,chuy,-33.6971,-53.4616,63.59,53,3,16.64,UY,2023-03-31 20:42:18
267,northam,51.0333,-4.2167,50.4,91,100,23.55,GB,2023-03-31 20:50:49
268,bardiyah,31.7561,25.0865,58.39,67,0,2.42,LY,2023-03-31 20:50:49
269,sukhumi,43.0033,41.0153,39.54,77,12,3.71,GE,2023-03-31 20:50:49
270,otradnoye,59.7775,30.8181,30.25,98,100,6.53,RU,2023-03-31 20:50:49
271,klaksvik,62.2266,-6.589,43.72,89,100,21.81,FO,2023-03-31 20:50:49
272,djibo,14.1022,-1.6306,89.1,8,2,9.24,BF,2023-03-31 20:50:49
273,kesinga,20.2,83.2333,80.02,47,44,1.45,IN,2023-03-31 20:50:49
274,yulara,-25.2406,130.9889,61.21,71,100,14.05,AU,2023-03-31 20:42:20
275,kui buri,12.0828,99.8543,74.1,84,19,5.06,TH,2023-03-31 20:50:49
276,polgar,47.8667,21.1167,53.38,79,100,10.6,HU,2023-03-31 20:50:49
277,port blair,11.6667,92.75,77.4,84,100,5.32,IN,2023-03-31 20:41:55
278,arkhangelsk,64.5401,40.5433,21.31,67,0,2.24,RU,2023-03-31 20:50:50
279,narsaq,60.9167,-46.05,35.82,71,52,3.53,GL,2023-03-31 20:42:08
280,kazachinskoye,57.6953,93.2761,5.5,92,98,4.88,RU,2023-03-31 20:50:50
281,erzin,36.9559,36.2,41.86,56,14,2.62,TR,2023-03-31 20:50:50
282,dikson,73.5069,80.5464,10.76,92,100,24.67,RU,2023-03-31 20:42:13
283,lavassaare,58.5114,24.3889,31.91,93,100,11.5,EE,2023-03-31 20:50:50
284,barybino,55.2677,37.8933,33.13,92,75,2.24,RU,2023-03-31 20:50:50
285,baruun-urt,46.6806,113.2792,46.06,63,100,4.65,MN,2023-03-31 20:50:50
286,nuuk,64.1835,-51.7216,23.61,50,20,12.66,GL,2023-03-31 20:50:50
287,itoman,26.1247,127.6694,71.62,78,75,10.36,JP,2023-03-31 20:50:50
288,bhatkal,13.9667,74.5667,74.52,79,6,5.86,IN,2023-03-31 20:50:50
289,moron,-34.6534,-58.6198,69.69,40,0,11.97,AR,2023-03-31 20:50:50
290,sao filipe,14.8961,-24.4956,75.31,73,7,8.32,CV,2023-03-31 20:41:56
291,khujand,40.2853,69.6279,61.88,67,59,2.24,TJ,2023-03-31 20:50:50
292,sinop,41.7711,34.8709,36.07,64,22,9.91,TR,2023-03-31 20:50:50
293,formosa,-26.1775,-58.1781,91.38,54,0,5.75,AR,2023-03-31 20:49:33
294,tilichiki,60.4667,166.1,23.32,92,100,3.8,RU,2023-03-31 20:42:01
295,rognan,67.0953,15.3878,26.74,91,42,4.52,NO,2023-03-31 20:50:50
296,nelson bay,-32.7167,152.15,62.01,81,5,8.99,AU,2023-03-31 20:50:50
297,rudnichnyy,59.617,52.4703,37.78,92,100,10.67,RU,2023-03-31 20:50:50
298,calderitas,18.55,-88.25,84.49,55,0,12.19,MX,2023-03-31 20:50:50
299,jambi,-1.6,103.6167,73.42,97,100,2.42,ID,2023-03-31 20:48:00
300,high level,58.5169,-117.136,28.51,59,100,9.22,CA,2023-03-31 20:50:50
